mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
0.00458221435546875,0.00047634880330745465,0.3044545650482178,0.027914414628220703,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",10.194237155398534,9.920069666458723,10.52399219708932,9.835146226142557,10.084396629112254,10.111568374840278,0.2411417839387759,16,KNN,Full Dataset
0.006799745559692383,0.0007494338649975074,0.2859203338623047,0.037743434406304004,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",10.153589609315421,9.87907706303498,10.497526434058333,9.816338650721866,10.04550712350873,10.078407776127865,0.2411672324686032,14,KNN,Full Dataset
0.008998680114746093,0.0016745101652954472,0.18520655632019042,0.034440786456384674,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",10.169158816829151,9.96473345567044,10.390617141610923,9.999274642986345,9.930313934304177,10.09081959828021,0.17091276284487555,15,KNN,Full Dataset
0.008120584487915038,0.0016614394302418138,0.276486873626709,0.08661714228490187,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",10.116656992164533,9.917060340603424,10.375400235324307,9.96777990297825,9.895310336378667,10.054441561489835,0.1780965018394361,13,KNN,Full Dataset
0.013804483413696288,0.010127488434106753,0.26459488868713377,0.018557282856048657,10,1,uniform,"{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",10.012592086750553,9.906717074269865,10.114827716541367,9.463470536589018,9.669271288102472,9.833375740450656,0.2368428998290846,8,KNN,Full Dataset
0.005799055099487305,0.0007475064370244484,0.2976038455963135,0.062070222327376516,10,1,distance,"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",9.963184007207564,9.847260088239295,10.090339862845907,9.431514957798969,9.637216912531446,9.793903165724638,0.23462884522448152,6,KNN,Full Dataset
0.006597137451171875,0.0013540173318797996,0.1956019401550293,0.028989464620770088,10,2,uniform,"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",9.893401760027977,9.83599379522343,10.057770822506805,9.457159392578063,9.698046911206294,9.788474536308513,0.20185894671886412,5,KNN,Full Dataset
0.017397212982177734,0.016429289268937518,0.2134328842163086,0.06560794012921803,10,2,distance,"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",9.84160747633239,9.777672474813135,10.029148565678144,9.434756276056879,9.663975062675878,9.749431971111287,0.19690551000187467,3,KNN,Full Dataset
0.008802366256713868,0.0019376235144901097,0.30812087059021,0.11703965092546141,20,1,uniform,"{'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",9.926636757147616,9.918754633904067,9.991490512113707,9.47820233611385,9.656492020612003,9.79431525197825,0.19534320689206405,7,KNN,Full Dataset
0.0062008857727050785,0.0009799420169227155,0.39192914962768555,0.13463188319390304,20,1,distance,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}",9.881459060657996,9.853285676701134,9.961366218501555,9.43422128271139,9.6080131108503,9.747669069884475,0.19620112271400128,2,KNN,Full Dataset
0.008602285385131836,0.0021537288072915398,0.21865158081054686,0.09067651442912938,20,2,uniform,"{'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}",9.915452492501876,9.9618640178463,9.949761590275266,9.381498277297954,9.666580601942936,9.775031395972865,0.22440367375209805,4,KNN,Full Dataset
0.007599592208862305,0.0004893059102736525,0.15162935256958007,0.0057234431976687,20,2,distance,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}",9.856625706183024,9.898305165623059,9.917307927852614,9.345850115577388,9.617226708003335,9.727063124647882,0.21894783898622824,1,KNN,Full Dataset
0.018723154067993165,0.01900656690411071,0.3098360538482666,0.1043629949718157,50,1,uniform,"{'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",10.025067584163118,10.06620080898375,10.262619617247474,9.654735037956693,9.848787232077772,9.971482056085762,0.20590620380215705,11,KNN,Full Dataset
0.006804132461547851,0.0007488810928327715,0.31389660835266114,0.07045078965388003,50,1,distance,"{'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",9.975309713831484,10.002211670932894,10.208689928752879,9.595147154811018,9.790704253893782,9.914412544444412,0.20748516136613387,10,KNN,Full Dataset
0.007202434539794922,0.0013252103540552366,0.18913021087646484,0.05905362824559381,50,2,uniform,"{'n_neighbors': 50, 'p': 2, 'weights': 'uniform'}",10.052443900342832,10.123613414371166,10.16348212373754,9.721691095632105,9.801020770976375,9.972450261012003,0.1777698978562811,12,KNN,Full Dataset
0.0077988624572753905,0.0015980467743390288,0.16155366897583007,0.016591620723565154,50,2,distance,"{'n_neighbors': 50, 'p': 2, 'weights': 'distance'}",9.993370044302939,10.059826516903216,10.111115146535617,9.660868107989497,9.74432467948109,9.913900899042472,0.17848516913152473,9,KNN,Full Dataset
